Date,IBIT Close,BTC Close,NAV Estimate,Premium/Discount (bps),Cost (bps),Create Signal,Redeem Signal,Spread Captured (bps),P&L Per Trade (USD)
2024-01-11,26.6300,46368.59,27.2881,-241.16,14.92,false,true,226.24,24099.25
2024-01-12,24.9700,42853.17,25.2192,-98.83,15.51,false,true,83.32,8321.92
2024-01-16,24.7200,43154.95,25.3968,-266.51,15.61,false,true,250.90,24808.80
2024-01-17,24.4100,42742.65,25.1542,-295.86,15.73,false,true,280.13,27351.60
2024-01-18,23.3400,41262.06,24.2829,-388.29,16.18,false,true,372.11,34740.18
2024-01-19,23.8000,41618.41,24.4926,-282.77,15.98,false,true,266.79,25398.69
2024-01-22,22.9500,39507.37,23.2502,-129.13,16.35,false,true,112.78,10353.17
2024-01-23,22.3200,39845.55,23.4492,-481.57,16.64,false,true,464.93,41509.04
2024-01-24,22.6000,40077.07,23.5855,-417.84,16.51,false,true,401.33,36280.51
2024-01-25,22.7600,39933.81,23.5012,-315.38,16.43,false,true,298.95,27216.28
2024-01-26,23.9900,41816.87,24.6094,-251.68,15.90,false,true,235.78,22625.82
2024-01-29,24.6700,43288.25,25.4753,-316.11,15.63,false,true,300.48,29651.20
2024-01-30,24.8800,42952.61,25.2778,-157.36,15.55,false,true,141.81,14113.12
2024-01-31,24.3000,42582.61,25.0600,-303.28,15.77,false,true,287.50,27945.47
2024-02-01,24.5400,43075.77,25.3502,-319.62,15.68,false,true,303.94,29834.99
2024-02-02,24.5000,43185.86,25.4150,-360.04,15.69,false,true,344.34,33745.53
2024-02-05,24.1900,42658.67,25.1048,-364.38,15.82,false,true,348.57,33727.24
2024-02-06,24.6000,43084.67,25.3555,-297.96,15.65,false,true,282.30,27778.52
2024-02-07,25.2200,44318.22,26.0814,-330.29,15.42,false,true,314.87,31763.97
2024-02-08,26.0300,45301.57,26.6601,-236.36,15.12,false,true,221.23,23034.86
2024-02-09,27.1500,47147.20,27.7463,-214.91,14.75,false,true,200.16,21737.63
2024-02-12,28.6600,49958.22,29.4006,-251.90,14.29,false,true,237.61,27239.66
2024-02-13,28.2200,49742.44,29.2736,-359.92,14.42,false,true,345.50,39000.09
2024-02-14,29.5500,51826.70,30.5002,-311.54,14.04,false,true,297.50,35164.56
2024-02-15,29.5200,51938.55,30.5660,-342.22,14.05,false,true,328.17,38750.63
2024-02-16,29.6200,52160.20,30.6965,-350.68,14.02,false,true,336.66,39887.75
2024-02-20,29.6700,52284.88,30.7698,-357.44,14.00,false,true,343.43,40758.85
2024-02-21,29.0800,51839.18,30.5075,-467.93,14.17,false,true,453.76,52781.82
2024-02-22,29.7200,51304.97,30.1932,-156.71,13.99,false,true,142.72,16966.54
2024-02-23,29.1600,50731.95,29.8559,-233.10,14.14,false,true,218.95,25538.62
